epoch,train_loss,val_loss,val_auc,lr,time
1,0.004581,0.845969,0.674236,0.00050000,64.9
2,0.001602,1.208257,0.673297,0.00050000,64.2
3,0.000976,0.700367,0.715034,0.00050000,65.4
4,0.001100,1.259774,0.688492,0.00050000,65.3
5,0.001041,0.759487,0.704406,0.00050000,65.5
6,0.000734,0.964679,0.731594,0.00050000,74.4
7,0.001019,1.142320,0.682113,0.00050000,66.4
8,0.000958,1.134530,0.670273,0.00050000,65.3
9,0.000824,1.040992,0.701119,0.00050000,46.4
10,0.000905,0.774344,0.727151,0.00050000,46.6
11,0.000665,0.805948,0.685802,0.00025000,47.0
12,0.000613,0.848987,0.715081,0.00025000,47.5
13,0.000541,0.776731,0.730366,0.00025000,48.6
14,0.000507,0.594495,0.742534,0.00025000,45.1
15,0.000536,0.911671,0.713653,0.00025000,39.2
16,0.000567,0.913483,0.734088,0.00025000,42.8
17,0.000459,0.713063,0.731617,0.00025000,47.3
18,0.000535,0.907429,0.719306,0.00025000,46.3
19,0.000412,0.766534,0.688364,0.00012500,46.2
20,0.000379,0.597069,0.727698,0.00012500,46.9
21,0.000317,0.593055,0.727750,0.00012500,47.2
22,0.000283,0.752127,0.744738,0.00012500,46.8
23,0.000368,1.095965,0.779487,0.00012500,46.8
24,0.000311,0.766905,0.751612,0.00012500,47.1
25,0.000260,0.702434,0.725160,0.00012500,46.8
26,0.000213,0.701833,0.724303,0.00012500,47.2
27,0.000275,0.767800,0.735632,0.00012500,47.1
28,0.000317,0.700592,0.739269,0.00006250,41.1
29,0.000168,0.593451,0.731502,0.00006250,38.9
30,0.000227,0.628393,0.737986,0.00006250,40.1
31,0.000147,0.599197,0.733038,0.00006250,40.4
32,0.000154,0.896326,0.747399,0.00006250,40.1
33,0.000154,0.634189,0.714007,0.00003125,39.5
34,0.000156,0.695022,0.725811,0.00003125,40.0
35,0.000106,0.683628,0.719059,0.00003125,39.6
36,0.000133,0.752540,0.727555,0.00003125,40.3
37,0.000110,0.688034,0.711059,0.00003125,39.6
38,0.000105,0.621057,0.713759,0.00001563,39.5
